stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001000820000,Hummelmora,59.455570,18.599069,1,,
9021001000821000,Edö,59.466696,18.632893,1,,
9021001000822000,Edö ö,59.465289,18.667129,1,,
9021001000823000,Norra Ingmarsö,59.476999,18.749215,1,,
9021001000824000,Finnhamn,59.482756,18.826534,1,,
9021001000825000,Husarö,59.502239,18.844197,1,,
9021001000826000,Brottö,59.465743,18.727584,1,,
9021001000827000,Södra Ingmarsö,59.465459,18.750991,1,,
9021001000828000,Nässlingen,59.485591,18.681668,1,,
9021001000829000,Åsättra brygga,59.504730,18.637958,1,,
9021001000830000,Äpplarö,59.485740,18.725195,1,,
9021001000831000,Ålön,59.516958,18.544662,1,,
9021001000832000,Siaröfortet,59.555778,18.623033,1,,
9021001000833000,Vettersö,59.563422,18.707887,1,,
9021001000835000,Koholmen,59.502712,18.488216,1,,
9021001000836000,Björnshuvud,59.531231,18.538341,1,,
9021001000838000,Gärdsvik,59.548925,18.659956,1,,
9021001000839000,Norra Ekskäret,59.494542,18.806814,1,,
9021001000841000,Björnholmen,59.458749,18.638749,1,,
9021001000842000,Östanå färjeläge,59.548181,18.575423,1,,
9021001000844000,Stora Timrarö östra,59.497173,18.500389,1,,
9021001000851000,Särsö,59.491583,18.845229,1,,
9021001000901000,Saltsjöbaden,59.278992,18.316245,1,,
9021001000902000,Nacka strand,59.318014,18.156875,1,,
9021001000903000,Hasseludden,59.348563,18.244530,1,,
9021001000904000,Riset,59.359991,18.285547,1,,
9021001000905000,Tegelön,59.363562,18.322300,1,,
9021001000906000,Nyckelviken,59.324878,18.193068,1,,
9021001000907000,Telegrafberget,59.341396,18.225883,1,,
9021001000908000,Kvarnholmen,59.317589,18.136513,1,,
9021001000909000,Boo,59.307043,18.292139,1,,
9021001000913000,Tollare,59.300156,18.234890,1,,
9021001000948000,Storholmen östra,59.396897,18.144338,1,,
9021001000949000,Storholmen södra,59.393514,18.134404,1,,
9021001000950000,Storholmen norra,59.398614,18.135351,1,,
9021001000951000,Klippudden,59.345873,18.223669,1,,
